Castle,BusinessDate,DayOfWeek,HourMinute,Product,ProductUOM,ForecastedAmountOZ,ForecastedSales
CHIC 42,1/25/2022,TUESDAY,16:00,FRENCH FRIES,OZ,38.9,101.2
CHIC 42,1/25/2022,TUESDAY,16:15,FRENCH FRIES,OZ,13.38,83.26
CHIC 42,1/25/2022,TUESDAY,16:30,FRENCH FRIES,OZ,22.3,97.78
CHIC 42,1/25/2022,TUESDAY,16:45,FRENCH FRIES,OZ,52.38,102.66
CHIC 42,1/25/2022,TUESDAY,17:00,FRENCH FRIES,OZ,73,100.03
CHIC 42,1/25/2022,TUESDAY,17:15,FRENCH FRIES,OZ,17,123.93
CHIC 42,1/25/2022,TUESDAY,17:30,FRENCH FRIES,OZ,47.82,109.12
CHIC 42,1/25/2022,TUESDAY,17:45,FRENCH FRIES,OZ,13.92,104.54
CHIC 42,1/25/2022,TUESDAY,18:00,FRENCH FRIES,OZ,21.46,97.15
CHIC 42,1/25/2022,TUESDAY,18:15,FRENCH FRIES,OZ,22.3,98.74
CHIC 42,1/25/2022,TUESDAY,18:30,FRENCH FRIES,OZ,0,83.35
CHIC 42,1/25/2022,TUESDAY,18:45,FRENCH FRIES,OZ,42.92,80.93
CHIC 42,1/25/2022,TUESDAY,19:00,FRENCH FRIES,OZ,39.3,82.09
CHIC 42,1/25/2022,TUESDAY,19:15,FRENCH FRIES,OZ,8.52,85.4
CHIC 42,1/25/2022,TUESDAY,19:30,FRENCH FRIES,OZ,61.6,66.91
CHIC 42,1/25/2022,TUESDAY,19:45,FRENCH FRIES,OZ,34.84,66.85
CHIC 42,1/25/2022,TUESDAY,20:00,FRENCH FRIES,OZ,4.46,61.11
CHIC 42,1/25/2022,TUESDAY,20:15,FRENCH FRIES,OZ,38.46,89.54
CHIC 42,1/25/2022,TUESDAY,20:30,FRENCH FRIES,OZ,51.98,105.93
CHIC 42,1/25/2022,TUESDAY,20:45,FRENCH FRIES,OZ,17,60.56
CHIC 42,1/25/2022,TUESDAY,21:00,FRENCH FRIES,OZ,38.06,76.67
CHIC 42,1/25/2022,TUESDAY,21:15,FRENCH FRIES,OZ,25.92,63.29
CHIC 42,1/25/2022,TUESDAY,21:30,FRENCH FRIES,OZ,30.92,50.6
CHIC 42,1/25/2022,TUESDAY,21:45,FRENCH FRIES,OZ,18.38,61.32
CHIC 42,1/25/2022,TUESDAY,22:00,FRENCH FRIES,OZ,25.52,66.18
CHIC 42,1/25/2022,TUESDAY,22:15,FRENCH FRIES,OZ,72.9,59.11
CHIC 42,1/25/2022,TUESDAY,22:30,FRENCH FRIES,OZ,29.54,61.92
CHIC 42,1/25/2022,TUESDAY,22:45,FRENCH FRIES,OZ,17,58.69
CHIC 42,1/25/2022,TUESDAY,23:00,FRENCH FRIES,OZ,55.5,60.83
CHIC 42,1/25/2022,TUESDAY,23:15,FRENCH FRIES,OZ,21.46,68.85
CHIC 42,1/25/2022,TUESDAY,23:30,FRENCH FRIES,OZ,64.82,82.25
CHIC 42,1/25/2022,TUESDAY,23:45,FRENCH FRIES,OZ,0,55.52
CHIC 42,1/25/2022,TUESDAY,0:00,FRENCH FRIES,OZ,0,56.59
CHIC 42,1/25/2022,TUESDAY,0:15,FRENCH FRIES,OZ,0,65.58
